rms,spectral_centroid,spectral_bandwidth,spectral_flatness,crest_factor,hf_energy_ratio,peak_prominence,window_id,label
33.57172573406165,133.8162677951129,64.32053845981909,0.03501364856589705,1.5054705496056526,0.2791813320730365,14.647272883888746,28,plsh
33.74204857010006,126.52208911079767,55.02854139433851,0.037479422266775704,1.4274026030439069,0.22973596783972067,14.81551199177334,29,plsh
34.01807320043267,124.76310377456197,56.39344753626025,0.03872334221524976,1.428722955068275,0.1926472068774789,14.25194027021441,30,plsh
33.131456459055286,129.19488254543933,64.79248563615562,0.03951730608247785,1.5509583698977905,0.22651792586587124,14.406845793235851,31,plsh
33.14930154181221,130.4600338773254,63.266093975747125,0.019621258560268473,1.414981973161434,0.25985921269334056,13.705122849988863,32,plsh
33.88541519443099,130.20630660708076,61.57170832152568,0.037326556456897766,1.462544203519583,0.2553757685748808,15.013881970820401,33,plsh
33.819726046007595,126.39689269975685,61.85883704759431,0.02921028235055817,1.4443757765553622,0.24878026586328236,13.562723656355972,34,plsh
35.602097386764555,97.24386904038327,41.24696185097728,0.04405882691832518,2.1682261560922638,0.050877333485321266,13.878797308580316,35,plsh
37.41132866025391,94.21156336260984,48.80948834463531,0.03548612629539243,1.8501883230884681,0.11109968127804944,17.234132839279116,36,plsh
34.12528412683905,67.69804078879463,40.60242552655011,0.019294423275347694,1.4981339559691618,0.04834380674242585,10.772792702088674,37,plsh
36.68608703403593,67.07382525267093,38.00532574976878,0.010787438456100779,1.5857884734788532,0.07089005886995897,15.30610338280953,38,plsh
38.63385337808792,58.05124337969315,26.468660248589135,0.005452761251835402,1.6046392298449192,0.005552744498919238,21.463858816101563,39,plsh
36.377418001646646,50.03030325421631,20.600467461154974,0.004009059671522139,1.7071223770348531,0.0036002056128292556,16.934756798518407,40,plsh
10.543587394641369,76.7185455495618,33.285293414404855,0.07119070875341472,1.5778219912483098,0.03305019800105082,0.18813564085589632,0,drill
10.574379894893141,70.10720576189213,41.52077613265888,0.05314209421871385,1.6813330061454839,0.02366901537168784,0.2345070236969937,1,drill
10.477922901078914,75.70248537266006,43.83288810797887,0.08393393248781876,1.7199130541224534,0.042261117644453866,0.45740223736829666,2,drill
11.57169597696797,70.56114585187575,28.75719829111636,0.048943958024271414,1.7599561740601601,0.017122180451451804,0.34126793116843496,3,drill
11.65409693514075,75.61045032548219,40.36352383110878,0.09762852199345484,1.946428243140463,0.045252317154613156,0.3143391496489444,4,drill
11.869716994021593,67.35927980343811,29.2604135553863,0.05350754198313258,1.869241194439592,0.013299781364595458,0.8966468961705625,5,drill
